Date,Open,High,Low,Close,Adj Close,Volume
6/1/2021,7.65,7.97,7.57,7.73,7.73,8800200
6/2/2021,7.79,8.89,7.66,8.74,8.74,34883700
6/3/2021,10.01,10.46,8.55,8.94,8.94,48726800
6/4/2021,9.169,9.48,8.97,9,9,16049900
6/7/2021,9.465,12,9.35,11.92,11.92,125343900
6/8/2021,16.635,24.93,16.32,22.15,22.15,735483700
6/9/2021,28,28.85,16.799999,16.92,16.92,371777100
6/10/2021,18.09,18.110001,13.91,14.34,14.34,155520600
6/11/2021,14.6,16.26,13.43,15.03,15.03,142806000
6/14/2021,14.65,16.049999,13.6,14.66,14.66,96497900
6/15/2021,14.52,15.47,13.68,13.77,13.77,53251700
6/16/2021,13.57,13.73,12.5,12.95,12.95,40173200
6/17/2021,12.96,13.62,12.5,12.56,12.56,30706000
6/18/2021,12.714,13.45,12.02,12.04,12.04,34165300
6/21/2021,12.171,12.25,11.16,11.24,11.24,32480200
6/22/2021,11.79,13.95,11.61,12.63,12.63,154157500
6/23/2021,13.95,14.54,13.11,13.83,13.83,152247800
6/24/2021,14.99,15.1,13.512,13.79,13.79,101689000
6/25/2021,13.43,13.78,12.77,12.97,12.97,50810200
6/28/2021,13.05,13.385,12.6,12.8,12.8,36178100
6/29/2021,12.71,14.44,12.54,13.36,13.36,73090600
6/30/2021,13.6,14.17,13.17,13.32,13.32,34028200
7/1/2021,13.21,13.25,12.26,12.33,12.33,24126400
7/2/2021,12.164,12.2,11.3,11.71,11.71,30831600
7/6/2021,11.11,11.16,9.96,10,10,76125000
7/7/2021,10.47,10.47,9.61,9.72,9.72,35594800
7/8/2021,9.38,9.669,9.19,9.36,9.36,30389500
7/9/2021,9.57,9.61,9.13,9.27,9.27,28691800
7/12/2021,9.15,10,8.86,9.68,9.68,49812000
7/13/2021,9.41,9.516,8.77,8.91,8.91,39649500
7/14/2021,8.945,9.25,8.57,8.68,8.68,26250100
7/15/2021,8.3,8.73,7.95,8.26,8.26,29125800
